question;tag
Findest du Zeit gerade stressig bzw. deine Situation?;
Wie geht es dir damit? Wie schätzt du es selbst ein? Oder irgendwie doch noch normal?;arbeit
Würdest du es nochmals machen?;
Was ist das Highlight des Tages? Und was das schlechteste?;
Was das Highlight des Jahres?;
Hightlights der Woche?; 
Welchen Vorsatz nimmt man sich immer vor, erreicht ihn aber nie?; 
Was war dein letztes Reiseziel?;
Was wird dein nächstes Reiseziel?;
Wenn Budget keine Rolle…welches Reiseziel?;
Welche Stadt könntest du dir vorstellen? Lieblingsstadt Deutschland?;
Wenn ein Land in welches ihr auswandern würdet…welches?;
Habt ihr eine Vorsatzliste 2024?;
Habt ihr Tipps für gute Vorsätze, die ich noch aufnehmen kann?;
Wart ihr schon mal in Karlsruhe/Würzburg/Ulm/München;
Was findest du am besten an *deinem Aktuelen Studienort*?;
Was stört dich am meisten an *deinem aktuellen Arbeitsort*?;arbeit
Gibt es was das dich stört an ITK/Wilken?;arbeit
Ihr dürft entweder nur Homeoffice oder nur noch Büro arbeiten ? Was würdet ihr tun?;
Irgendwas mit Umzug? Welcher Stock? Wie gemacht? Was war das nervigste?;
Lieblingsgericht in der Mensa/Kantine?;
Lieblingsknopf auf der Kaffeemaschine?;
Lieblingsplatz?;
Wie ging es dir damals mit der Masterarbeit? Wie bist du damals zum Thema gekommen?;
Vorgebene Themen?;
Habt ihr Tips zur Einrichtung des Zimmers?;
Tips für neuen Handy?;
Serientipp?;
Was ist deine beste Angewohnheit?;
Was ist deine schlechteste Angewohnheit?;
Was ist dein Lieblingsessen?;
Für was hast du keine Geduld?;
Welche Serie hast du zuletzt im Schnelldurchlauf gesehen?;
Hörst du eher auf deinen Kopf oder auf deinen Bauch?;
Welche Band möchtest du unbedingt live sehen?;
Wann warst du das letzte Mal extrem wütend?;
Was ist dein Lieblingstier?;
Hast du eine Lieblingsgeschichte?;
Wann hast du dich das letzte Mal richtig ausgeheult?;
Wie fängst du am liebsten den Tag an?;
Glaubst du, dass es jemals fliegende Autos geben wird?;
Wie kannst du am Ende eines langen Tages am besten abschalten?;
Was bringt dich immer zum Lächeln?;
Warst du schon einmal in eine Lehrerin oder einen Lehrer verknallt?;
Über welches Thema sprichst du am liebsten?;
Welches Emoji verwendest du am häufigsten?;
Welchen Ausdruck verwendest du am häufigsten?;
Mit welcher Person würdest du gerne einen Tag lang tauschen?;
In welchen Vereinen bist/warst du?;
Was war deine absolute Lieblingsserie, als du aufgewachsen bist?;
